street,suburb,numbers,postcode,lon,lat,accuracy,matchedaddress
"Cephas Close","Sockburn","","8042","172.565699","-43.531431","street","Cephas Close, Sockburn, Christchurch"
"Cerbera Close New","Brighton","","8083","172.704563","-43.495649","street","Cerbera Close, New Brighton, Christchurch"
"Cezanne Grove","Rolleston","","7614","172.383964","-43.598453","street","Cezanne Grove, Rolleston, Selwyn"
"Chadbury Street","Parklands","","8083","172.705133","-43.480414","street","Chadbury Street, Parklands, Christchurch"
"Chaddesden Lane","Avonside","","8061","172.66533","-43.523044","street","Chaddesden Lane, Avonside, Christchurch"
"Chadlington Street","Parklands","","8083","172.693661","-43.475591","street","Chadlington Street, Parklands, Christchurch"
"Chale Lane","Avondale","","8061","172.702456","-43.50179","street","Chale Lane, Avondale, Christchurch"
"Chalford Street","Brooklands","","8083","172.7023","-43.401859","street","Chalford Street, Brooklands, Christchurch"
"Challenger Lane","Redcliffs","","8081","172.732575","-43.56395","street","Challenger Lane, Redcliffs, Christchurch"
"Challis Place","Mt Pleasant","","8081","172.711073","-43.561586","street","Challis Place, Mt Pleasant, Christchurch"
"Chalmers Street","Hornby","","8042","172.523442","-43.542083","street","Chalmers Street, Hornby, Christchurch"
"Chaloner Lane","Westmorland","","8025","172.597086","-43.581826","street","Chaloner Lane, Westmorland, Christchurch"
"Champion Street","Edgeware","","8013","172.649165","-43.517153","street","Champion Street, Edgeware, Christchurch"
"Chancellor Street","Richmond","","8013","172.654348","-43.510264","street","Chancellor Street, Richmond, Christchurch"
"Chancery Lane","Christchurch Central","","8011","172.635245","-43.530401","street","Chancery Lane, Christchurch Central, Christchurch"
"Chanel Place","Prebbleton","","7604","172.508285","-43.586009","street","Chanel Place, Prebbleton, Selwyn"
"Channel Place","Bexley","","8061","172.710717","-43.519671","street","Channel Place, Bexley, Christchurch"
"Chapel Street","Papanui","","8053","172.604347","-43.493844","street","Chapel Street, Papanui, Christchurch"
"Chapman Place","Kaiapoi","","7630","172.646237","-43.382766","street","Chapman Place, Kaiapoi, Waimakariri"
"Chapman Street","Leeston","","7632","172.291655","-43.766816","street","Chapman Street, Leeston, Selwyn"
"Chapmans Road","Hillsborough","10-50 (Even Numbers)","8022","172.687181","-43.567192","street","Chapmans Road, Hillsborough, Christchurch"
"Chapmans Road","Hillsborough","25-69 (Odd Numbers)","8022","172.687181","-43.567192","street","Chapmans Road, Hillsborough, Christchurch"
"Chapmans Road","Woolston","62-80 (Even Numbers)","8023","172.687181","-43.567192","street","Chapmans Road, Woolston, Christchurch"
"Chapmans Road","Woolston","79-79","8023","172.687181","-43.567192","street","Chapmans Road, Woolston, Christchurch"
"Chappie Place","Hornby","","8042","172.529316","-43.54217","street","Chappie Place, Hornby, Christchurch"
"Chapter Street","St Albans","","8052","172.621333","-43.504171","street","Chapter Street, St Albans, Christchurch"
"Chardale Street","Avondale","","8061","172.694513","-43.503079","street","Chardale Street, Avondale, Christchurch"
"Charity Lane","Barrington","","8024","172.604758","-43.556512","street","Charity Lane, Barrington, Christchurch"
"Charlcott Street","Russley","","8053","172.57328","-43.495972","street","Charlcott Street, Russley, Christchurch"
"Charlene Place","Hillsborough","","8022","172.659831","-43.566293","street","Charlene Place, Hillsborough, Christchurch"
"Charles Gallagher Place","Bexley","","8061","172.714905","-43.511441","street","Charles Gallagher Place, Bexley, Christchurch"
"Charles Street","Kaiapoi","","7630","172.662828","-43.385383","street","Charles Street, Kaiapoi, Waimakariri"
"Charles Street","Prebbleton","","7604","172.511369","-43.580101","street","Charles Street, Prebbleton, Selwyn"
"Charles Street","Waltham","","8011","172.659584","-43.543896","street","Charles Street, Waltham, Christchurch"
"Charles Upham Avenue","Hoon Hay","","8025","172.583476","-43.556136","street","Charles Upham Avenue, Hoon Hay, Christchurch"
"Charlesworth Street","Ferrymead","","8023","172.696298","-43.553715","street","Charlesworth Street, Ferrymead, Christchurch"
"Charlie Stanton Place","Mairehau","","8052","172.65378","-43.49342","street","Charlie Stanton Place, Mairehau, Christchurch"
"Charlotte Jane Quay","Lyttelton","","8082","172.711275","-43.608502","street","Charlotte Jane Quay, Lyttelton, Christchurch"
"Charlotte Lane","Woolston","","8062","172.683858","-43.547732","street","Charlotte Lane, Woolston, Christchurch"
"Charnwood Crescent","Harewood","","8051","172.577646","-43.485558","street","Charnwood Crescent, Harewood, Christchurch"
"Charon Street","Brooklands","","8083","172.69974","-43.401416","street","Charon Street, Brooklands, Christchurch"
"Charters Street","Kaiapoi","","7630","172.660666","-43.389093","street","Charters Street, Kaiapoi, Waimakariri"
"Chartwell Street","Marshland","","8083","172.685007","-43.485142","street","Chartwell Street, Marshland, Christchurch"
"Chateau Drive","Burnside","","8053","172.580322","-43.50991","street","Chateau Drive, Burnside, Christchurch"
"Chatham Street","Addington","","8024","172.607967","-43.543059","street","Chatham Street, Addington, Christchurch"
"Chatswood Place","Harewood","","8051","172.573921","-43.491239","street","Chatswood Place, Harewood, Christchurch"
"Chattertons Road","Mcleans Island","","8051","172.428171","-43.500478","street","Chattertons Road, Mcleans Island, Christchurch;Selwyn"
"Chaucer Street","Rolleston","","7614","172.375437","-43.593027","street","Chaucer Street, Rolleston, Selwyn"
"Chaucer Street","Sydenham","","8023","172.645453","-43.54984","street","Chaucer Street, Sydenham, Christchurch"
"Chaytor Avenue","Burnham","","7600","172.306683","-43.615638","street","Chaytor Avenue, Burnham, Selwyn"
"Cheam Street","Dallington","","8061","172.677396","-43.508535","street","Cheam Street, Dallington, Christchurch"
"Checketts Avenue","Halswell","","8025","172.562937","-43.574519","street","Checketts Avenue, Halswell, Christchurch"
"Chedworth Avenue","Bishopdale","","8053","172.584414","-43.483575","street","Chedworth Avenue, Bishopdale, Christchurch"
"Chelsea Street","Linwood","","8062","172.678426","-43.532817","street","Chelsea Street, Linwood, Christchurch"
"Cheltenham Street","Merivale","","8014","172.621186","-43.520965","street","Cheltenham Street, Merivale, Christchurch"
"Chemin Du Nache","Akaroa","","7520","172.972853","-43.801971","street","Chemin Du Nache, Akaroa, Christchurch"
"Chenery Avenue","Styx","","8083","172.654034","-43.440244","street","Chenery Avenue, Styx, Christchurch"
"Chepstow Avenue","Bryndwr","","8052","172.59231","-43.511529","street","Chepstow Avenue, Bryndwr, Christchurch"
"Cheriton Street","Aranui","","8061","172.705258","-43.509354","street","Cheriton Street, Aranui, Christchurch"
"Cherry Place","Casebrook","","8051","172.60113","-43.479915","street","Cherry Place, Casebrook, Christchurch"
"Cherry Vale Lane","Kaiapoi","","7630","172.665336","-43.383361","street","Cherry Vale Lane, Kaiapoi, Waimakariri"
"Cherryburton Place","Shirley","","8013","172.659681","-43.502553","street","Cherryburton Place, Shirley, Christchurch"
"Cherrytree Lane","Barrington","","8024","172.610237","-43.55668","street","Cherrytree Lane, Barrington, Christchurch"
"Cherrywood Place","Redwood","","8051","172.623951","-43.474888","street","Cherrywood Place, Redwood, Christchurch"
"Chervier Street","Leeston","","7632","172.291198","-43.765973","street","Chervier Street, Leeston, Selwyn"
"Chester Street","Kaiapoi","","7630","172.667128","-43.369981","street","Chester Street, Kaiapoi, Waimakariri"
"Chester Street East","Christchurch Central","","8011","172.646142","-43.527662","street","Chester Street East, Christchurch Central, Christchurch"
"Chester Street West","Christchurch Central","","8013","172.631221","-43.52768","street","Chester Street West, Christchurch Central, Christchurch"
"Chesterfield Mews","Avonhead","","8042","172.540105","-43.513203","street","Chesterfield Mews, Avonhead, Christchurch"
"Chesterton Common","Rolleston","","7614","172.38748","-43.598845","street","Chesterton Common, Rolleston, Selwyn"
"Chestnut Avenue","Hornby","","8042","172.526693","-43.539538","street","Chestnut Avenue, Hornby, Christchurch"
"Cheviot Street","Spreydon","","8024","172.624056","-43.553404","street","Cheviot Street, Spreydon, Christchurch"
"Chevron Place","Ilam","","8041","172.574116","-43.512438","street","Chevron Place, Ilam, Christchurch"
"Chevy Place","Hoon Hay","","8025","172.607485","-43.567386","street","Chevy Place, Hoon Hay, Christchurch"
"Cheyenne Street","Sockburn","","8042","172.552894","-43.530472","street","Cheyenne Street, Sockburn, Christchurch"
"Chichester Street","Pines Beach","","7630","172.702887","-43.378554","street","Chichester Street, Pines Beach, Waimakariri"
"Chichester Street","Woolston","","8023","172.675801","-43.553023","street","Chichester Street, Woolston, Christchurch"
"Chicory Way","Prebbleton","","7604","172.506483","-43.58475","street","Chicory Way, Prebbleton, Selwyn"
"Chilcombe Street","Ilam","","8041","172.584069","-43.515971","street","Chilcombe Street, Ilam, Christchurch"
"Chilton Drive","Mairehau","","8052","172.642324","-43.494585","street","Chilton Drive, Mairehau, Christchurch"
"Chilvers Way","Harewood","","8051","172.578639","-43.478683","street","Chilvers Way, Harewood, Christchurch"
"Chilwell Place","Halswell","","8025","172.555708","-43.572552","street","Chilwell Place, Halswell, Christchurch"
"Chimera Crescent New","Brighton","","8083","172.70287","-43.496156","street","Chimera Crescent, New Brighton, Christchurch"
"Ching Gardens","Burwood","","8061","172.674947","-43.501636","street","Ching Gardens, Burwood, Christchurch"
"Chinook Place","Hornby South","","8042","172.516688","-43.558653","street","Chinook Place, Hornby South, Christchurch"
"Chipping Lane","Redwood","","8051","172.620841","-43.475763","street","Chipping Lane, Redwood, Christchurch"
"Chislehurst Place","Bryndwr","","8052","172.601109","-43.509287","street","Chislehurst Place, Bryndwr, Christchurch"
"Chittagong Lane","Cashmere","","8022","172.62162","-43.574396","street","Chittagong Lane, Cashmere, Christchurch"
"Chokebore Place","Sockburn","","8042","172.55094","-43.531401","street","Chokebore Place, Sockburn, Christchurch"
"Cholmondeley Avenue","Opawa","","8023","172.660915","-43.552986","street","Cholmondeley Avenue, Opawa, Christchurch"
"Chorley Place","Hillsborough","","8022","172.66152","-43.569287","street","Chorley Place, Hillsborough, Christchurch"
"Christchurch Akaroa Road","Akaroa","","7520","172.792435","-43.767527","street","Christchurch Akaroa Road, Akaroa, Christchurch;Selwyn"
"Christian Street","Papanui","","8053","172.598649","-43.502147","street","Christian Street, Papanui, Christchurch"
"Chrystal Street","Richmond","","8013","172.658623","-43.515342","street","Chrystal Street, Richmond, Christchurch"
"Church Lane","Merivale","","8014","172.622155","-43.515062","street","Church Lane, Merivale, Christchurch"
"Church Square","Addington","","8024","172.617964","-43.543998","street","Church Square, Addington, Christchurch"
"Church Street","Akaroa","","7520","172.962439","-43.809602","street","Church Street, Akaroa, Christchurch"
"Churchill Street","Christchurch Central","","8013","172.648884","-43.521649","street","Churchill Street, Christchurch Central, Christchurch"
"Cicada Place","Hei Hei","","8042","172.535649","-43.531349","street","Cicada Place, Hei Hei, Christchurch"
"Cintra Place","Casebrook","","8051","172.598203","-43.476723","street","Cintra Place, Casebrook, Christchurch"
"Circuit Street","Strowan","","8052","172.617177","-43.50908","street","Circuit Street, Strowan, Christchurch"
"Cirrus Lane","Mt Pleasant","","8081","172.727889","-43.570957","street","Cirrus Lane, Mt Pleasant, Christchurch"
"Clare Lane","Akaroa","","7520","172.954038","-43.815061","street","Clare Lane, Akaroa, Christchurch"
"Clare Road","St Albans","","8014","172.62947","-43.518189","street","Clare Road, St Albans, Christchurch"
"Claremont Avenue","Papanui","","8053","172.618421","-43.500972","street","Claremont Avenue, Papanui, Christchurch"
"Clarence Street","Addington","62-86 (Even Numbers)","8024","172.609225","-43.542713","street","Clarence Street South, Addington, Christchurch"
"Clarence Street","Addington","75-75","8024","172.609225","-43.542713","street","Clarence Street South, Addington, Christchurch"
"Clarence Street","Riccarton","96-184 (Even Numbers)","8011","172.609225","-43.542713","street","Clarence Street South, Riccarton, Christchurch"
"Clarence Street","Riccarton","81-201 (Odd Numbers)","8011","172.609225","-43.542713","street","Clarence Street South, Riccarton, Christchurch"
"Clarence Street","Riccarton","","8011","172.609225","-43.542713","street","Clarence Street South, Riccarton, Christchurch"
"Clarence Street","Riccarton","","8041","172.609225","-43.542713","street","Clarence Street South, Riccarton, Christchurch"
"Clarence Street South","Addington","","8024","172.609225","-43.542713","street","Clarence Street South, Addington, Christchurch"
"Clarendon Terrace","Hillsborough","153-155","8022","172.672824","-43.551036","street","Clarendon Terrace, Hillsborough, Christchurch"
"Clarendon Terrace","Woolston","1-139","8023","172.672824","-43.551036","street","Clarendon Terrace, Woolston, Christchurch"
"Clarevale Street","Marshland","","8083","172.685485","-43.490053","street","Clarevale Street, Marshland, Christchurch"
"Claridges Road","Casebrook","","8051","172.5957","-43.474058","street","Claridges Road, Casebrook, Christchurch"
"Claridges Road","Harewood","","8051","172.5957","-43.474058","street","Claridges Road, Harewood, Christchurch"
"Clark Street","Sumner","","8081","172.762455","-43.577371","street","Clark Street, Sumner, Christchurch"
"Clarke Avenue","Pines Beach","","7630","172.702997","-43.379508","street","Clarke Avenue, Pines Beach, Waimakariri"
"Clarkson Avenue","Christchurch Central","","8011","172.648312","-43.533651","street","Clarkson Avenue, Christchurch Central, Christchurch"
"Claude Hendry Lane","Hoon Hay","","8025","172.611806","-43.56352","street","Claude Hendry Lane, Hoon Hay, Christchurch"
"Claverley Gardens","Avonhead","","8042","172.550558","-43.511469","street","Claverley Gardens, Avonhead, Christchurch"
"Claxton Place","St Martins","","8022","172.65804","-43.554639","street","Claxton Place, St Martins, Christchurch"
"Claydon Place","Dallington","","8061","172.67361","-43.514879","street","Claydon Place, Dallington, Christchurch"
"Claymore Street","Woolston","","8062","172.685357","-43.545608","street","Claymore Street, Woolston, Christchurch"
"Clearbrook Street","Shirley","","8052","172.654935","-43.493922","street","Clearbrook Street, Shirley, Christchurch"
"Clearwater Avenue","Northwood","","8051","172.595168","-43.452433","street","Clearwater Avenue, Northwood, Christchurch"
"Clearwater Avenue","Coutts Island","","8051","172.595168","-43.452433","street","Clearwater Avenue, Northwood, Christchurch"
"Cleland Street","Belfast","","8051","172.635139","-43.444419","street","Cleland Street, Belfast, Christchurch"
"Clematis Place","Hornby","","8042","172.5416","-43.554086","street","Clematis Place, Hornby, Christchurch"
"Clementine Lane","Mt Pleasant","","8081","172.712753","-43.561874","street","Clementine Lane, Mt Pleasant, Christchurch"
"Clemett Place","Kaiapoi","","7630","172.643928","-43.39145","street","Clemett Place, Kaiapoi, Waimakariri"
"Clent Lane","Barrington","","8024","172.609715","-43.55589","street","Clent Lane, Barrington, Christchurch"
"Cleveland Street","Edgeware","","8013","172.648848","-43.51016","street","Cleveland Street, Edgeware, Christchurch"
"Cliff Street","Redcliffs","","8081","172.745372","-43.566902","street","Cliff Street, Redcliffs, Christchurch"
"Clifford Avenue","Merivale","","8014","172.607276","-43.51839","street","Clifford Avenue, Merivale, Christchurch"
"Clifford Road","Camside","122-170","7630","172.687741","-43.371715","street","Clifford Road, Camside, Waimakariri"
"Clifton Bay","Redcliffs","","8081","172.755534","-43.566093","street","Clifton Bay, Redcliffs, Christchurch"
"Clifton Terrace","Redcliffs","","8081","172.753786","-43.568528","street","Clifton Terrace, Redcliffs, Christchurch"
"Clipper Place","Redwood","","8051","172.625326","-43.475061","street","Clipper Place, Redwood, Christchurch"
"Clipston Place","Halswell","","8025","172.554336","-43.574115","street","Clipston Place, Halswell, Christchurch"
"Clissold Street","Merivale","","8014","172.619696","-43.519144","street","Clissold Street, Merivale, Christchurch"
"Clive Street","Phillipstown","","8011","172.669066","-43.533987","street","Clive Street, Phillipstown, Christchurch"
"Clivedon Place","Redwood","","8051","172.628649","-43.478324","street","Clivedon Place, Redwood, Christchurch"
"Clonbern Place Upper","Riccarton","","8041","172.597017","-43.530505","suburb","Riccarton, Christchurch"
"Clonbracken Lane","Heathcote Valley","","8022","172.697327","-43.572256","street","Clonbracken Lane, Heathcote Valley, Christchurch"
"Clothier Street","Phillipstown","","8011","172.652853","-43.534611","street","Clothier Street, Phillipstown, Christchurch"
"Clotilda Place","Bishopdale","","8053","172.580229","-43.487466","street","Clotilda Place, Bishopdale, Christchurch"
"Clouston Street","St Martins","","8022","172.65018","-43.55665","street","Clouston Street, St Martins, Christchurch"
"Clovelly Place","Westmorland","","8025","172.602088","-43.582416","street","Clovelly Place, Westmorland, Christchurch"
"Club Lane","Christchurch Central","","8011","172.63445","-43.530381","street","Club Lane, Christchurch Central, Christchurch"
"Clyde Road","Ilam","1-134","8041","172.571783","-43.515132","suburb","Ilam, Christchurch"
"Clyde Road","Burnside","135-382","8053","","","",""
"Clydesdale Street","Woolston","","8062","172.686086","-43.544164","street","Clydesdale Street, Woolston, Christchurch"
"Coachman Lane","Opawa","","8023","172.661079","-43.557664","street","Coachman Lane, Opawa, Christchurch"
"Cob Crescent","Woolston","","8062","172.684731","-43.544955","street","Cob Crescent, Woolston, Christchurch"
"Cobblewood Court","Parklands","","8083","172.700258","-43.470572","street","Cobblewood Court, Parklands, Christchurch"
"Cobham Street","Barrington","","8024","172.609668","-43.555342","street","Cobham Street, Barrington, Christchurch"
"Cobra Street","Halswell","","8025","172.565832","-43.570976","street","Cobra Street, Halswell, Christchurch"
"Cockle Lane","Waimairi Beach","","8083","172.720736","-43.483241","street","Cockle Lane, Waimairi Beach, Christchurch"
"Colac Street","Avondale","","8061","172.698902","-43.507081","street","Colac Street, Avondale, Christchurch"
"Colchester Place","Templeton","","8042","172.466796","-43.550039","street","Colchester Place, Templeton, Christchurch"
"Coldstream Court","Ilam","","8041","172.582714","-43.517126","street","Coldstream Court, Ilam, Christchurch"
"Colenso Street","Sumner","","8081","172.762331","-43.575187","street","Colenso Street, Sumner, Christchurch"
"Coleridge Street","Rolleston","","7614","172.373939","-43.593806","street","Coleridge Street, Rolleston, Selwyn"
"Coleridge Street","Sydenham","","8023","172.642557","-43.545812","street","Coleridge Street, Sydenham, Christchurch"
"Coleridge Terrace","Lyttelton","","8082","172.717878","-43.601104","street","Coleridge Terrace, Lyttelton, Christchurch"
"Coles Place","St Albans","","8014","172.634157","-43.51064","street","Coles Place, St Albans, Christchurch"
"Colesbury Street","Bishopdale","","8053","172.587731","-43.485831","street","Colesbury Street, Bishopdale, Christchurch"
"Colina Street","Avonhead","","8042","172.557815","-43.518459","street","Colina Street, Avonhead, Christchurch"
"College Avenue","Strowan","","8052","172.611964","-43.506726","street","College Avenue, Strowan, Christchurch"
"College Place","Lyttelton","","8082","172.727409","-43.599435","street","College Place, Lyttelton, Christchurch"
"College Road","Lyttelton","","8082","172.728199","-43.59867","street","College Road, Lyttelton, Christchurch"
"Colligan Street Upper","Riccarton","","8041","172.597017","-43.530505","suburb","Riccarton, Christchurch"
"Collingwood Street New","Brighton","","8061","170.327568","-45.948584","suburb","Brighton, Dunedin"
"Collins Street","Addington","","8024","172.616756","-43.545738","street","Collins Street, Addington, Christchurch"
"Colman Avenue","Sockburn","","8042","172.561366","-43.532291","street","Colman Avenue, Sockburn, Christchurch"
"Colombo Street","Cashmere","1-66","8022","172.630663","-43.57268","suburb","Cashmere, Christchurch"
"Colombo Street","Beckenham","109-481 (Odd Numbers)","8023","172.63665","-43.539933","street","Colombo Street, Beckenham, Christchurch"
"Colombo Street","Beckenham","74-500 (Even Numbers)","8023","172.63665","-43.539933","street","Colombo Street, Beckenham, Christchurch"
"Colombo Street","Beckenham","69-107 (Odd Numbers)","8024","172.63665","-43.539933","street","Colombo Street, Beckenham, Christchurch"
"Colombo Street","Christchurch Central","504-794 (Even Numbers)","8011","172.63665","-43.539933","street","Colombo Street, Christchurch, Christchurch"
"Colombo Street","Christchurch Central","521-779 (Odd Numbers)","8011","172.63665","-43.539933","street","Colombo Street, Christchurch, Christchurch"
"Colombo Street","Christchurch Central","798-918 (Even Numbers)","8013","172.63665","-43.539933","street","Colombo Street, Christchurch, Christchurch"
"Colombo Street","Christchurch Central","783-919 (Odd Numbers)","8013","172.63665","-43.539933","street","Colombo Street, Christchurch, Christchurch"
"Colombo Street","St Albans","920-1073","8014","172.630148","-43.509593","suburb","St Albans, Christchurch"
"Colonial Lane","Christchurch Central","","8011","172.637203","-43.530197","street","Colonial Lane, Christchurch, Christchurch"
"Columbia Avenue","Hornby South","","8042","172.523689","-43.560655","street","Columbia Avenue, Hornby, Christchurch"
"Colwyn Street","Papanui","","8053","172.594949","-43.505669","street","Colwyn Street, Papanui, Christchurch"
"Compton Street","Woolston","","8062","172.680503","-43.542598","street","Compton Street, Woolston, Christchurch"
"Concord Place","Marshland","","8083","172.6788","-43.481578","street","Concord Place, Marshland, Christchurch"
"Condell Avenue","Papanui","","8053","172.596996","-43.498135","street","Condell Avenue, Papanui, Christchurch"
"Cone Place","Northcote","","8052","172.59829","-43.491011","street","Cone Place, Northcote, Christchurch"
"Conference Street","Christchurch Central","","8013","172.63208","-43.523242","street","Conference Street, Christchurch Central, Christchurch"
"Conifer Place","St Martins","","8022","172.650491","-43.564317","street","Conifer Place, St Martins, Christchurch"
"Coniston Avenue","Ilam","","8041","172.56527","-43.512014","street","Coniston Avenue, Ilam, Christchurch"
"Connal Street","Woolston","","8023","172.681479","-43.553296","street","Connal Street, Woolston, Christchurch"
"Connaught Drive","Islington","","8042","172.508964","-43.548221","street","Connaught Drive, Islington, Christchurch"
"Connemara Drive","Northwood","","8051","172.617761","-43.453466","street","Connemara Drive, Northwood, Christchurch"
"Conservators Road","Mcleans Island","","8051","172.496358","-43.483467","street","Conservators Road, Mcleans Island, Christchurch"
"Constable Place","Halswell","","8025","172.552793","-43.567755","street","Constable Place, Halswell, Christchurch"
"Consul Place","Hornby","","8042","172.545226","-43.545745","street","Consul Place, Hornby, Christchurch"
"Convoy Street New","Brighton","","8083","172.725121","-43.506717","street","Convoy Street, New Brighton, Christchurch"
"Conway Street","Barrington","","8024","172.619382","-43.563232","street","Conway Street, Barrington, Christchurch"
"Cooke Street","Somerfield","","8024","172.628463","-43.556974","street","Cooke Street, Somerfield, Christchurch"
"Cooks Lane","Ferrymead","","8022","172.709934","-43.574232","street","Cooks Lane, Ferrymead, Christchurch"
"Cookson Lane","Kaiapoi","","7630","172.665865","-43.383577","street","Cookson Lane, Kaiapoi, Waimakariri"
"Coolspring Way","Redwood","","8051","172.625507","-43.467377","street","Coolspring Way, Redwood, Christchurch"
"Coopers Road","Dallington","","8061","172.669778","-43.51043","street","Coopers Road, Dallington, Christchurch"
"Copenhagen Place","Hoon Hay","","8025","172.600293","-43.565016","street","Copenhagen Place, Hoon Hay, Christchurch"
"Coppell Place","Hoon Hay","","8025","172.594549","-43.554738","street","Coppell Place, Hoon Hay, Christchurch"
"Copperfield Close","Parklands","","8083","172.701747","-43.473432","street","Copperfield Close, Parklands, Christchurch"
"Coppinger Terrace","Halswell","","8025","172.567959","-43.565162","street","Coppinger Terrace, Halswell, Christchurch"
"Corbett Crescent","Halswell","","8025","172.573145","-43.565893","street","Corbett Crescent, Halswell, Christchurch"
"Cordyline Place","Waimairi Beach","","8083","172.718934","-43.484147","street","Cordyline Place, Waimairi Beach, Christchurch"
"Corfe Street","Ilam","","8041","172.563202","-43.525914","street","Corfe Street, Ilam, Christchurch"
"Corgwyn Avenue","Hoon Hay","","8025","172.579095","-43.594746","street","Corgwyn Avenue, Hoon Hay, Christchurch"
"Corhampton Street","Aranui","","8061","172.710908","-43.511408","street","Corhampton Street, Aranui, Christchurch"
"Cornet Lane","Bexley","","8061","172.711658","-43.519093","street","Cornet Lane, Bexley, Christchurch"
"Cornwall Road","Lyttelton","","8082","172.721505","-43.597408","street","Cornwall Road, Lyttelton, Christchurch"
"Cornwall Street","St Albans","","8014","172.63858","-43.512244","street","Cornwall Street, St Albans, Christchurch"
"Corokia Close","Brooklands","","8083","172.695835","-43.402557","street","Corokia Close, Brooklands, Christchurch"
"Coronado Place","Broomfield","","8042","172.534518","-43.521828","street","Coronado Place, Broomfield, Christchurch"
"Coronation Street","Spreydon","","8024","172.618297","-43.551487","street","Coronation Street, Spreydon, Christchurch"
"Corsair Drive","Hornby","","8042","172.544746","-43.548024","street","Corsair Drive, Hornby, Christchurch"
"Corserland Street","Burwood","","8083","172.698435","-43.496722","street","Corserland Street, Burwood, Christchurch"
"Corsican Grove","Parklands","","8083","172.708683","-43.477727","street","Corsican Grove, Parklands, Christchurch"
"Corson Avenue","Beckenham","","8023","172.642742","-43.566107","street","Corson Avenue, Beckenham, Christchurch"
"Cosgrove Road","Kaiapoi","","7630","172.639906","-43.385134","street","Cosgrove Road, Kaiapoi, Waimakariri"
"Cossar Street","Burwood","","8083","172.686838","-43.495476","street","Cossar Street, Burwood, Christchurch"
"Cotswold Avenue","Bishopdale","","8053","172.586597","-43.483217","street","Cotswold Avenue, Bishopdale, Christchurch"
"Cotterill Street","Addington","","8024","172.620512","-43.543402","street","Cotterill Street, Addington, Christchurch"
"Cottesmore Close","Burnside","","8053","172.57855","-43.507995","street","Cottesmore Close, Burnside, Christchurch"
"Cotton Street","Shirley","","8061","172.662253","-43.495833","street","Cotton Street, Shirley, Christchurch"
"Cottonwood Street","Parklands","","8083","172.702497","-43.483325","street","Cottonwood Street, Parklands, Christchurch"
"Coulter Street","Linwood","","8062","172.684743","-43.525564","street","Coulter Street, Linwood, Christchurch"
"Counihan Place","Kaiapoi","","7630","172.658849","-43.391669","street","Counihan Place, Kaiapoi, Waimakariri"
"Countess Lane","Barrington","","8024","172.603185","-43.554888","street","Countess Lane, Barrington, Christchurch"
"Country Palms Drive","Halswell","","8025","172.562178","-43.585279","street","Country Palms Drive, Halswell, Christchurch"
"Country Place","Burwood","","8083","172.686614","-43.49062","street","Country Place, Burwood, Christchurch"
"Coups Terrace","Kaiapoi","","7630","172.661008","-43.375569","street","Coups Terrace, Kaiapoi, Waimakariri"
"Courtenay Drive","Kaiapoi","","7630","172.660229","-43.386998","street","Courtenay Drive, Kaiapoi, Waimakariri"
"Courtenay Street","St Albans","","8014","172.633896","-43.507759","street","Courtenay Street, St Albans, Christchurch"
"Courtfield Close","Parklands","","8083","172.706262","-43.474836","street","Courtfield Close, Parklands, Christchurch"
"Coventry Street","Christchurch Central","","8011","172.64519","-43.537848","street","Coventry Street, Christchurch, Christchurch"
"Cowes Street","Avondale","","8061","172.698981","-43.503713","street","Cowes Street, Avondale, Christchurch"
"Cowlishaw Street","Avonside","","8061","172.663698","-43.522688","street","Cowlishaw Street, Avonside, Christchurch"
"Cowper Place","Avondale","","8061","172.701271","-43.503672","street","Cowper Place, Avondale, Christchurch"
"Cox Street","Merivale","","8014","172.617438","-43.513904","street","Cox Street, Merivale, Christchurch"
"Cox's Road","Mcleans Island","","8051","172.521435","-43.473258","street","Cox's Road, Mcleans Island, Christchurch"
"Cracroft Terrace","Cashmere","","8022","172.632979","-43.569906","street","Cracroft Terrace, Cashmere, Christchurch"
"Cradock Street South New","Brighton","","8062","170.327568","-45.948584","suburb","Brighton, Dunedin"
"Craft Place","Middleton","","8024","172.585202","-43.542907","street","Craft Place, Middleton, Christchurch"
"Craig Place","Redwood","","8051","172.618016","-43.479755","street","Craig Place, Redwood, Christchurch"
"Craigieburn Lane","Mt Pleasant","","8081","172.722735","-43.570122","street","Craigieburn Lane, Mt Pleasant, Christchurch"
"Cranbrook Avenue","Burnside","","8053","172.57472","-43.499995","street","Cranbrook Avenue, Burnside, Christchurch"
"Cranford Street","Redwood","468-520 (Even Numbers)","8051","172.628936","-43.498309","street","Cranford Street, Redwood, Christchurch"
"Cranford Street","Redwood","471-537 (Odd Numbers)","8051","172.628936","-43.498309","street","Cranford Street, Redwood, Christchurch"
"Cranford Street","St Albans","4-238 (Even Numbers)","8014","172.628936","-43.498309","street","Cranford Street, St Albans, Christchurch"
"Cranford Street","St Albans","9-243 (Odd Numbers)","8014","172.628936","-43.498309","street","Cranford Street, St Albans, Christchurch"
"Cranford Street","St Albans","242-340 (Even Numbers)","8052","172.628936","-43.498309","street","Cranford Street, St Albans, Christchurch"
"Cranford Street","St Albans","249-451 (Odd Numbers)","8052","172.628936","-43.498309","street","Cranford Street, St Albans, Christchurch"
