street,suburb,numbers,postcode,lon,lat,accuracy,matchedaddress
"Alloway Street","Avondale","","8061","172.685622","-43.503038","street","Alloway Street, Avondale, Christchurch"
"Alloy Street","Sockburn","","8042","172.553951","-43.540231","street","Alloy Street, Sockburn, Christchurch"
"Allstone Place","Marshland","","8083","172.685182","-43.483276","street","Allstone Place, Marshland, Christchurch"
"Alma Place","Shirley","","8061","172.663343","-43.504982","street","Alma Place, Shirley, Christchurch"
"Almont Gardens","Bexley","","8061","172.720041","-43.516479","street","Almont Gardens, Bexley, Christchurch"
"Alpers Place","Hoon Hay","","8025","172.589429","-43.564492","street","Alpers Place, Hoon Hay, Christchurch"
"Alpha Avenue","Strowan","","8052","172.607246","-43.508664","street","Alpha Avenue, Strowan, Christchurch"
"Alpine Lane","Kaiapoi","","7630","172.65061","-43.382292","street","Alpine Lane, Kaiapoi, Waimakariri"
"Alpine View Lane","Marshland","","8083","172.675771","-43.47339","street","Alpine View Lane, Marshland, Christchurch"
"Alport Place","Woolston","","8023","172.690695","-43.551468","street","Alport Place, Woolston, Christchurch"
"Althorp Place","Avonhead","","8042","172.553114","-43.511684","street","Althorp Place, Avonhead, Christchurch"
"Alvarez Place","Barrington","","8024","172.619146","-43.559015","street","Alvarez Place, Barrington, Christchurch"
"Alvaston Drive","Halswell","","8025","172.552714","-43.575838","street","Alvaston Drive, Halswell, Christchurch"
"Amamoor Street","Northwood","","8051","172.617568","-43.460177","street","Amamoor Street, Northwood, Christchurch"
"Amber Grove","Burwood","","8083","172.695669","-43.497822","street","Amber Grove, Burwood, Christchurch"
"Ambleside Drive","Burnside","","8053","172.572067","-43.50196","street","Ambleside Drive, Burnside, Christchurch"
"Amdale Avenue","Broomfield","","8042","172.531112","-43.523944","street","Amdale Avenue, Broomfield, Christchurch"
"Amesbury Mews","Avonhead","","8042","172.554064","-43.511973","street","Amesbury Mews, Avonhead, Christchurch"
"Amherst Place","Cashmere","","8022","172.638899","-43.582262","street","Amherst Place, Cashmere, Christchurch"
"Amoka Crescent","Parklands","","8083","172.688102","-43.478346","street","Amoka Crescent, Parklands, Christchurch"
"Amos Place","Shirley","","8061","172.661631","-43.50144","street","Amos Place, Shirley, Christchurch"
"Amstel Lane","Richmond","","8013","172.661332","-43.51386","street","Amstel Lane, Richmond, Christchurch"
"Amuri Park Lane","Christchurch Central","","8013","172.647264","-43.521567","street","Amuri Park Lane, Christchurch Central, Christchurch"
"Amuri Street","Hei Hei","","8042","172.518802","-43.537417","street","Amuri Street, Hei Hei, Christchurch"
"Amyes Road","Hornby","","8042","172.52964","-43.54889","street","Amyes Road, Hornby, Christchurch"
"Anchorage Road","Hornby South","","8042","172.519198","-43.558602","street","Anchorage Road, Hornby South, Christchurch"
"Anderson Street","Addington","","8011","172.608862","-43.537685","street","Anderson Street, Addington, Christchurch"
"Andover Street","Merivale","","8014","172.622187","-43.51981","street","Andover Street, Merivale, Christchurch"
"Andrews Crescent","Spreydon","","8024","172.615808","-43.549024","street","Andrews Crescent, Spreydon, Christchurch"
"Andybrae Lane","St Martins","","8022","172.657839","-43.556851","street","Andybrae Lane, St Martins, Christchurch"
"Anfield Street","Brooklands","","8083","172.697417","-43.403695","street","Anfield Street, Brooklands, Christchurch"
"Angela Street","Upper Riccarton","2-21","8041","172.570001","-43.530266","street","Angela Street, Upper Riccarton, Christchurch"
"Anglem Way","Northwood","","8051","172.619118","-43.460453","street","Anglem Way, Northwood, Christchurch"
"Anglesea Avenue","Parklands","","8083","172.700601","-43.471625","street","Anglesea Avenue, Parklands, Christchurch"
"Angus Street","Sydenham","","8023","172.635542","-43.551894","street","Angus Street, Sydenham, Christchurch"
"Annaby Drive","Northwood","","8051","172.61158","-43.458354","street","Annaby Drive, Northwood, Christchurch"
"Anne Ward Lane","Burwood","","8083","172.686431","-43.498248","street","Anne Ward Lane, Burwood, Christchurch"
"Annell Place","Burnside","","8053","172.570563","-43.502459","street","Annell Place, Burnside, Christchurch"
"Annex Road","Middleton","3-280","8024","172.585176","-43.545659","street","Annex Road, Middleton, Christchurch"
"Ansel Place","Kaiapoi","","7630","172.665016","-43.371435","street","Ansel Place, Kaiapoi, Waimakariri"
"Ansonby Street","Avonhead","","8042","172.543648","-43.515202","street","Ansonby Street, Avonhead, Christchurch"
"Anstorer Street","Papanui","","8053","172.593499","-43.500976","street","Anstorer Street, Papanui, Christchurch"
"Antigua Street","Addington","29-137 (Odd Numbers)","8024","172.627922","-43.541036","street","Antigua Street, Addington, Christchurch"
"Antigua Street","Addington","34-160 (Even Numbers)","8024","172.627922","-43.541036","street","Antigua Street, Addington, Christchurch"
"Antigua Street","Addington","","8024","172.627922","-43.541036","street","Antigua Street, Addington, Christchurch"
"Antigua Street","Christchurch Central","141-245 (Odd Numbers)","8011","172.627922","-43.541036","street","Antigua Street, Christchurch Central, Christchurch"
"Antigua Street","Christchurch Central","182-278 (Even Numbers)","8011","172.627922","-43.541036","street","Antigua Street, Christchurch Central, Christchurch"
"Antigua Street","Christchurch Central","","8011","172.627922","-43.541036","street","Antigua Street, Christchurch Central, Christchurch"
"Antonia Place","Halswell","","8025","172.568624","-43.566584","street","Antonia Place, Halswell, Christchurch"
"Antrim Street","Sydenham","","8023","172.634605","-43.551148","street","Antrim Street, Sydenham, Christchurch"
"Anvers Place","Hoon Hay","","8025","172.591271","-43.55857","street","Anvers Place, Hoon Hay, Christchurch"
"Anzac Drive","Avondale","","8061","172.701283","-43.498283","street","Anzac Drive, Avondale, Christchurch"
"Anzac Drive","Burwood","","8083","172.701283","-43.498283","street","Anzac Drive, Burwood, Christchurch"
"Aorangi Road","Burnside","","8053","172.592571","-43.50443","street","Aorangi Road, Burnside, Christchurch"
"Aorangi Road","Papanui","","8053","172.592571","-43.50443","street","Aorangi Road, Papanui, Christchurch"
"Aotea Terrace","St Martins","","8022","172.655555","-43.568111","street","Aotea Terrace, St Martins, Christchurch"
"Apollo Place","Northcote","","8052","172.615054","-43.490639","street","Apollo Place, Northcote, Christchurch"
"Appian Lane","Sumner","","8081","172.77512","-43.576769","street","Appian Lane, Sumner, Christchurch"
"Appleby Crescent","Burnside","","8053","172.571268","-43.500319","street","Appleby Crescent, Burnside, Christchurch"
"Applecross Lane","Harewood","","8051","172.571323","-43.486331","street","Applecross Lane, Harewood, Christchurch"
"Applefield Court","Northwood","","8051","172.608833","-43.457566","street","Applefield Court, Northwood, Christchurch"
"Applewood Place","Casebrook","","8051","172.597296","-43.482497","street","Applewood Place, Casebrook, Christchurch"
"April Place","Hillsborough","","8022","172.659817","-43.567382","street","April Place, Hillsborough, Christchurch"
"Apsley Drive","Avonhead","","8042","172.550396","-43.513781","street","Apsley Drive, Avonhead, Christchurch"
"Arahura Place","Cashmere","","8022","172.635314","-43.577159","street","Arahura Place, Cashmere, Christchurch"
"Aranoni Track","Redcliffs","","8081","172.755289","-43.567634","street","Aranoni Track, Redcliffs, Christchurch"
"Aratoro Place","Mt Pleasant","","8081","172.721504","-43.557892","street","Aratoro Place, Mt Pleasant, Christchurch"
"Arawa Street","Shirley","","8013","172.656792","-43.506531","street","Arawa Street, Shirley, Christchurch"
"Archdall Place","Avonhead","","8042","172.559982","-43.521378","street","Archdall Place, Avonhead, Christchurch"
"Archduke Lane","Halswell","","8025","172.550148","-43.573804","street","Archduke Lane, Halswell, Christchurch"
"Archer Street","Mairehau","","8013","172.644828","-43.504244","street","Archer Street, Mairehau, Christchurch"
"Arcon Drive","Broomfield","","8042","172.529702","-43.525308","street","Arcon Drive, Broomfield, Christchurch"
"Arden Place","Parklands","","8083","172.706197","-43.48349","street","Arden Place, Parklands, Christchurch"
"Ardmore Place","Bishopdale","","8053","172.593352","-43.491761","street","Ardmore Place, Bishopdale, Christchurch"
"Ardrossan Street","Avondale","","8061","172.686084","-43.501714","street","Ardrossan Street, Avondale, Christchurch"
"Ardtrea Lane","Heathcote Valley","","8022","172.699836","-43.573093","street","Ardtrea Lane, Heathcote Valley, Christchurch"
"Argo Place","Casebrook","","8051","172.596919","-43.47926","street","Argo Place, Casebrook, Christchurch"
"Argyle Place","Prebbleton","","7604","172.510768","-43.581428","street","Argyle Place, Prebbleton, Selwyn"
"Ariel Place","Bexley","","8061","172.704854","-43.523409","street","Ariel Place, Bexley, Christchurch"
"Ariki Place","Hei Hei","","8042","172.529011","-43.531502","street","Ariki Place, Hei Hei, Christchurch"
"Arkwright Place","Halswell","","8025","172.55728","-43.572715","street","Arkwright Place, Halswell, Christchurch"
"Arlington Street","Burnside","","8053","172.56694","-43.502664","street","Arlington Street, Burnside, Christchurch"
"Armagh Court","Christchurch Central","","8013","172.63273","-43.528986","street","Armagh Court, Christchurch Central, Christchurch"
"Armagh Street","Christchurch Central","90-540","8011","172.645664","-43.528751","street","Armagh Street, Christchurch, Christchurch"
"Armagh Street","Christchurch Central","1-85","8013","172.645664","-43.528751","street","Armagh Street, Christchurch, Christchurch"
"Armil Place","Lincoln","","7608","172.476994","-43.641979","street","Armil Place, Lincoln, Selwyn"
